link_url,img_src,coordinates
https://www.equatorinitiative.org/2020/04/24/solution11099/,https://www.equatorinitiative.org/wp-content/uploads/2020/04/5555-650x415.jpg,12.238333_-1.561593
https://www.equatorinitiative.org/2017/06/19/21-initiatives-community-based-natural-resource-management-and-utilization/,https://www.equatorinitiative.org/wp-content/uploads/2017/06/353669617_a8415227c2_o-650x415.jpg,12.652225605442498_54.022551831243845
https://www.equatorinitiative.org/2020/04/24/solution11288/,https://www.equatorinitiative.org/wp-content/uploads/2020/04/5555-650x415.jpg,4.570868_-74.297333
https://www.equatorinitiative.org/2017/07/06/a-apib-tem-estimulado-mais-de-300-povos-indigenas-de-todo-o-pais-a-realizar-a-festao-ambiental-e-territorial-de-sus-terras-indigenas-a-partir-do-uso-adequado-dos-recursos-naturais-promovendo-desta-fo/,https://www.equatorinitiative.org/wp-content/uploads/2017/07/3240930253_cc815fd61d_o-650x415.jpg,-15.7664086_-47.87794710000003
https://www.equatorinitiative.org/2017/06/08/a-collaborative-process-that-creates-a-shared-understanding-of-the-system-helps-assess-trade-offs-and-supports-sustainability-planning/,https://www.equatorinitiative.org/wp-content/uploads/2017/06/5f52c6539d0ec0d27b097524fdd924f6-WWF_LucHoffman160317-5038-650x415.jpg,12.489278262522966_106.01584100000002
https://www.equatorinitiative.org/2017/06/19/a-man-made-oasis-basis-for-sustainable-growth-in-gobi-desert/,https://www.equatorinitiative.org/wp-content/uploads/2017/06/6dcc732172bad1409f72f6d6dea045d4-6FCD879-650x415.jpg,47.92466100000001_106.916022
https://www.equatorinitiative.org/2017/06/19/a-short-assessment-undertaken-of-the-impact-of-artisanal-and-illicit-mining-on-the-environment/,https://www.equatorinitiative.org/wp-content/uploads/2017/06/daeabeb34e5eb4dbabd225b0cf16e081-SAM_1748-650x415.jpg,8.464710228222513_-13.273188058930145
https://www.equatorinitiative.org/2017/06/09/a-typical-nature-based-solution-for-the-sustainability-of-natural-resources-livelihoods-through-communal-leadership/,https://www.equatorinitiative.org/wp-content/uploads/2017/06/7c6c0f48d3284ae06c099ffa855e3e16-6Kfar-Zabad-wetland-and-livelihoods-650x415.jpg,34.01025535985759_36.20514641395562
https://www.equatorinitiative.org/2020/04/24/solution11423/,https://www.equatorinitiative.org/wp-content/uploads/2020/04/5555-650x415.jpg,20.593684_78.96288
https://www.equatorinitiative.org/2020/04/24/solution11378/,https://www.equatorinitiative.org/wp-content/uploads/2020/04/5555-650x415.jpg,20.593684_78.96288
https://www.equatorinitiative.org/2020/04/24/solution11395/,https://www.equatorinitiative.org/wp-content/uploads/2020/04/5555-650x415.jpg,-11.202692_17.873887
https://www.equatorinitiative.org/2017/06/05/acceptance-of-womens-program-by-the-beneficiaries/,https://www.equatorinitiative.org/wp-content/uploads/2017/06/418868803_a794db5a0a_o-650x415.jpg,3.8838816112057715_11.480885748782384
https://www.equatorinitiative.org/2017/07/10/acceso-a-veredas-y-caminos-de-peregrinacion/,https://www.equatorinitiative.org/wp-content/uploads/2017/07/954e42691d45b8ba4e1dd17efb7f4015-Ejemplo-túnel-ecológico-650x415.jpg,19.367790636654092_-99.44657068703305
https://www.equatorinitiative.org/2017/07/11/acciones-y-planes-de-trabajo-de-los-tajpianij/,https://www.equatorinitiative.org/wp-content/uploads/2017/07/53a691cd9766fb9dad3bfa6db93bec1f-IMG_0575-650x415.jpg,20.0298608_-97.54138969999997
https://www.equatorinitiative.org/2017/07/07/acompanamiento-en-las-comunidades-para-promover-las-parcelas-familiares-y-proyectos-productivos-colectivos-vinculados-a-cajas-de-ahorro/,https://www.equatorinitiative.org/wp-content/uploads/2017/07/3f5904fee7a0e7784f458fc5031973bf-Hortaliza-colectiva-650x415.jpg,16.7569318_-93.1292353
https://www.equatorinitiative.org/2017/06/20/acquisition-of-the-first-salt-salinity-solar-remote-sensing-data-logger-in-the-country-to-measure-the-extensiveness-of-salt-salinity-in-the-soil-on-the-farm/,https://www.equatorinitiative.org/wp-content/uploads/2017/06/f2b8f52d2c8488844335329ebd09b9b1-SENTEK-Remote-sensing-data-logger-650x415.jpg,-4.3299865_55.75922969999999
https://www.equatorinitiative.org/2020/04/24/solution11102/,https://www.equatorinitiative.org/wp-content/uploads/2020/04/5555-650x415.jpg,8.619543_0.824782
